Purchase_Fact_ID,Customer_ID,Product_ID,Channel_ID,Time_ID,Device_ID,Payment_ID,Marketing_ID,Shipping_ID,Purchase_Amount,Frequency_of_Purchase,Brand_Loyalty_Score,Product_Rating,Time_Spent_Research_Hours,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Discount_Used,Purchase_Intent,Time_to_Decision_Days
59,90-144-9193,6,1,20240315,1,1,42,2,486.40,12,2,5,1,0,9,Low,1,Need-based,13
60,90-144-9193,6,1,20240315,1,1,46,2,486.40,12,2,5,1,0,9,Low,1,Need-based,13
61,88-661-4689,2,1,20240317,1,2,4,3,218.06,6,5,4,1,2,9,None,0,Impulsive,13
62,88-661-4689,2,1,20240317,1,2,8,3,218.06,6,5,4,1,2,9,None,0,Impulsive,13
63,88-661-4689,2,1,20240317,1,2,12,3,218.06,6,5,4,1,2,9,None,0,Impulsive,13
64,88-661-4689,2,1,20240317,1,2,16,3,218.06,6,5,4,1,2,9,None,0,Impulsive,13
65,88-661-4689,2,1,20240317,1,2,20,3,218.06,6,5,4,1,2,9,None,0,Impulsive,13
66,88-661-4689,2,1,20240317,1,2,24,3,218.06,6,5,4,1,2,9,None,0,Impulsive,13
67,88-661-4689,2,1,20240317,1,2,28,3,218.06,6,5,4,1,2,9,None,0,Impulsive,13
68,88-661-4689,2,1,20240317,1,2,32,3,218.06,6,5,4,1,2,9,None,0,Impulsive,13
69,88-661-4689,2,1,20240317,1,2,36,3,218.06,6,5,4,1,2,9,None,0,Impulsive,13
70,88-661-4689,2,1,20240317,1,2,40,3,218.06,6,5,4,1,2,9,None,0,Impulsive,13
71,88-661-4689,2,1,20240317,1,2,44,3,218.06,6,5,4,1,2,9,None,0,Impulsive,13
72,88-661-4689,2,1,20240317,1,2,48,3,218.06,6,5,4,1,2,9,None,0,Impulsive,13
73,37-065-3182,4,3,20240610,1,4,1,1,201.96,8,3,5,0,1,2,High,0,Need-based,7
74,37-065-3182,4,3,20240610,1,4,5,1,201.96,8,3,5,0,1,2,High,0,Need-based,7
75,37-065-3182,4,3,20240610,1,4,9,1,201.96,8,3,5,0,1,2,High,0,Need-based,7
76,37-065-3182,4,3,20240610,1,4,13,1,201.96,8,3,5,0,1,2,High,0,Need-based,7
77,37-065-3182,4,3,20240610,1,4,17,1,201.96,8,3,5,0,1,2,High,0,Need-based,7
78,37-065-3182,4,3,20240610,1,4,21,1,201.96,8,3,5,0,1,2,High,0,Need-based,7
79,37-065-3182,4,3,20240610,1,4,25,1,201.96,8,3,5,0,1,2,High,0,Need-based,7
80,37-065-3182,4,3,20240610,1,4,29,1,201.96,8,3,5,0,1,2,High,0,Need-based,7
81,37-065-3182,4,3,20240610,1,4,33,1,201.96,8,3,5,0,1,2,High,0,Need-based,7
82,37-065-3182,4,3,20240610,1,4,37,1,201.96,8,3,5,0,1,2,High,0,Need-based,7
83,37-065-3182,4,3,20240610,1,4,41,1,201.96,8,3,5,0,1,2,High,0,Need-based,7
84,37-065-3182,4,3,20240610,1,4,45,1,201.96,8,3,5,0,1,2,High,0,Need-based,7
85,84-894-9222,10,1,20241007,3,5,3,3,418.83,7,2,5,1,1,5,Medium,1,Need-based,13
86,84-894-9222,10,1,20241007,3,5,7,3,418.83,7,2,5,1,1,5,Medium,1,Need-based,13
87,84-894-9222,10,1,20241007,3,5,11,3,418.83,7,2,5,1,1,5,Medium,1,Need-based,13
88,84-894-9222,10,1,20241007,3,5,15,3,418.83,7,2,5,1,1,5,Medium,1,Need-based,13
89,84-894-9222,10,1,20241007,3,5,19,3,418.83,7,2,5,1,1,5,Medium,1,Need-based,13
90,84-894-9222,10,1,20241007,3,5,23,3,418.83,7,2,5,1,1,5,Medium,1,Need-based,13
91,84-894-9222,10,1,20241007,3,5,27,3,418.83,7,2,5,1,1,5,Medium,1,Need-based,13
92,84-894-9222,10,1,20241007,3,5,31,3,418.83,7,2,5,1,1,5,Medium,1,Need-based,13
93,84-894-9222,10,1,20241007,3,5,35,3,418.83,7,2,5,1,1,5,Medium,1,Need-based,13
94,84-894-9222,10,1,20241007,3,5,39,3,418.83,7,2,5,1,1,5,Medium,1,Need-based,13
95,84-894-9222,10,1,20241007,3,5,43,3,418.83,7,2,5,1,1,5,Medium,1,Need-based,13
96,84-894-9222,10,1,20241007,3,5,47,3,418.83,7,2,5,1,1,5,Medium,1,Need-based,13
97,44-674-4037,19,3,20240702,1,5,1,2,389.70,12,1,4,1,0,4,High,1,Planned,12
98,44-674-4037,19,3,20240702,1,5,5,2,389.70,12,1,4,1,0,4,High,1,Planned,12
99,44-674-4037,19,3,20240702,1,5,9,2,389.70,12,1,4,1,0,4,High,1,Planned,12
100,44-674-4037,19,3,20240702,1,5,13,2,389.70,12,1,4,1,0,4,High,1,Planned,12
101,44-674-4037,19,3,20240702,1,5,17,2,389.70,12,1,4,1,0,4,High,1,Planned,12
102,44-674-4037,19,3,20240702,1,5,21,2,389.70,12,1,4,1,0,4,High,1,Planned,12
103,44-674-4037,19,3,20240702,1,5,25,2,389.70,12,1,4,1,0,4,High,1,Planned,12
104,44-674-4037,19,3,20240702,1,5,29,2,389.70,12,1,4,1,0,4,High,1,Planned,12
105,44-674-4037,19,3,20240702,1,5,33,2,389.70,12,1,4,1,0,4,High,1,Planned,12
106,44-674-4037,19,3,20240702,1,5,37,2,389.70,12,1,4,1,0,4,High,1,Planned,12
107,44-674-4037,19,3,20240702,1,5,41,2,389.70,12,1,4,1,0,4,High,1,Planned,12
108,44-674-4037,19,3,20240702,1,5,45,2,389.70,12,1,4,1,0,4,High,1,Planned,12
109,78-116-8349,10,1,20241227,3,4,1,3,238.93,5,4,3,1,0,10,High,1,Planned,1
110,78-116-8349,10,1,20241227,3,4,5,3,238.93,5,4,3,1,0,10,High,1,Planned,1
111,78-116-8349,10,1,20241227,3,4,9,3,238.93,5,4,3,1,0,10,High,1,Planned,1
112,78-116-8349,10,1,20241227,3,4,13,3,238.93,5,4,3,1,0,10,High,1,Planned,1
113,78-116-8349,10,1,20241227,3,4,17,3,238.93,5,4,3,1,0,10,High,1,Planned,1
114,78-116-8349,10,1,20241227,3,4,21,3,238.93,5,4,3,1,0,10,High,1,Planned,1
115,78-116-8349,10,1,20241227,3,4,25,3,238.93,5,4,3,1,0,10,High,1,Planned,1
116,78-116-8349,10,1,20241227,3,4,29,3,238.93,5,4,3,1,0,10,High,1,Planned,1
117,78-116-8349,10,1,20241227,3,4,33,3,238.93,5,4,3,1,0,10,High,1,Planned,1
118,78-116-8349,10,1,20241227,3,4,37,3,238.93,5,4,3,1,0,10,High,1,Planned,1
119,78-116-8349,10,1,20241227,3,4,41,3,238.93,5,4,3,1,0,10,High,1,Planned,1
120,78-116-8349,10,1,20241227,3,4,45,3,238.93,5,4,3,1,0,10,High,1,Planned,1
121,19-933-8095,8,3,20240805,1,1,1,3,61.22,7,5,2,2,1,7,High,1,Need-based,5
122,19-933-8095,8,3,20240805,1,1,5,3,61.22,7,5,2,2,1,7,High,1,Need-based,5
123,19-933-8095,8,3,20240805,1,1,9,3,61.22,7,5,2,2,1,7,High,1,Need-based,5
124,19-933-8095,8,3,20240805,1,1,13,3,61.22,7,5,2,2,1,7,High,1,Need-based,5
125,19-933-8095,8,3,20240805,1,1,17,3,61.22,7,5,2,2,1,7,High,1,Need-based,5
126,19-933-8095,8,3,20240805,1,1,21,3,61.22,7,5,2,2,1,7,High,1,Need-based,5
127,19-933-8095,8,3,20240805,1,1,25,3,61.22,7,5,2,2,1,7,High,1,Need-based,5
128,19-933-8095,8,3,20240805,1,1,29,3,61.22,7,5,2,2,1,7,High,1,Need-based,5
129,19-933-8095,8,3,20240805,1,1,33,3,61.22,7,5,2,2,1,7,High,1,Need-based,5
130,19-933-8095,8,3,20240805,1,1,37,3,61.22,7,5,2,2,1,7,High,1,Need-based,5
131,19-933-8095,8,3,20240805,1,1,41,3,61.22,7,5,2,2,1,7,High,1,Need-based,5
132,19-933-8095,8,3,20240805,1,1,45,3,61.22,7,5,2,2,1,7,High,1,Need-based,5
133,80-684-5072,15,2,20240716,2,1,1,1,79.81,4,5,5,0,0,9,High,0,Wants-based,14
134,80-684-5072,15,2,20240716,2,1,5,1,79.81,4,5,5,0,0,9,High,0,Wants-based,14
135,80-684-5072,15,2,20240716,2,1,9,1,79.81,4,5,5,0,0,9,High,0,Wants-based,14
136,80-684-5072,15,2,20240716,2,1,13,1,79.81,4,5,5,0,0,9,High,0,Wants-based,14
137,80-684-5072,15,2,20240716,2,1,17,1,79.81,4,5,5,0,0,9,High,0,Wants-based,14
138,80-684-5072,15,2,20240716,2,1,21,1,79.81,4,5,5,0,0,9,High,0,Wants-based,14
139,80-684-5072,15,2,20240716,2,1,25,1,79.81,4,5,5,0,0,9,High,0,Wants-based,14
140,80-684-5072,15,2,20240716,2,1,29,1,79.81,4,5,5,0,0,9,High,0,Wants-based,14
141,80-684-5072,15,2,20240716,2,1,33,1,79.81,4,5,5,0,0,9,High,0,Wants-based,14
142,80-684-5072,15,2,20240716,2,1,37,1,79.81,4,5,5,0,0,9,High,0,Wants-based,14
143,80-684-5072,15,2,20240716,2,1,41,1,79.81,4,5,5,0,0,9,High,0,Wants-based,14
144,80-684-5072,15,2,20240716,2,1,45,1,79.81,4,5,5,0,0,9,High,0,Wants-based,14
145,23-302-7502,1,1,20241214,1,5,3,3,58.51,2,4,4,1,0,4,Medium,1,Planned,14
146,23-302-7502,1,1,20241214,1,5,7,3,58.51,2,4,4,1,0,4,Medium,1,Planned,14
147,23-302-7502,1,1,20241214,1,5,11,3,58.51,2,4,4,1,0,4,Medium,1,Planned,14
148,23-302-7502,1,1,20241214,1,5,15,3,58.51,2,4,4,1,0,4,Medium,1,Planned,14
149,23-302-7502,1,1,20241214,1,5,19,3,58.51,2,4,4,1,0,4,Medium,1,Planned,14
150,23-302-7502,1,1,20241214,1,5,23,3,58.51,2,4,4,1,0,4,Medium,1,Planned,14
151,23-302-7502,1,1,20241214,1,5,27,3,58.51,2,4,4,1,0,4,Medium,1,Planned,14
152,23-302-7502,1,1,20241214,1,5,31,3,58.51,2,4,4,1,0,4,Medium,1,Planned,14
153,23-302-7502,1,1,20241214,1,5,35,3,58.51,2,4,4,1,0,4,Medium,1,Planned,14
154,23-302-7502,1,1,20241214,1,5,39,3,58.51,2,4,4,1,0,4,Medium,1,Planned,14
155,23-302-7502,1,1,20241214,1,5,43,3,58.51,2,4,4,1,0,4,Medium,1,Planned,14
156,23-302-7502,1,1,20241214,1,5,47,3,58.51,2,4,4,1,0,4,Medium,1,Planned,14
157,90-069-8934,7,1,20240811,1,1,1,2,109.29,3,3,4,0,2,2,High,0,Wants-based,11
158,90-069-8934,7,1,20240811,1,1,5,2,109.29,3,3,4,0,2,2,High,0,Wants-based,11
159,90-069-8934,7,1,20240811,1,1,9,2,109.29,3,3,4,0,2,2,High,0,Wants-based,11
160,90-069-8934,7,1,20240811,1,1,13,2,109.29,3,3,4,0,2,2,High,0,Wants-based,11
161,90-069-8934,7,1,20240811,1,1,17,2,109.29,3,3,4,0,2,2,High,0,Wants-based,11
162,90-069-8934,7,1,20240811,1,1,21,2,109.29,3,3,4,0,2,2,High,0,Wants-based,11
163,90-069-8934,7,1,20240811,1,1,25,2,109.29,3,3,4,0,2,2,High,0,Wants-based,11
164,90-069-8934,7,1,20240811,1,1,29,2,109.29,3,3,4,0,2,2,High,0,Wants-based,11
165,90-069-8934,7,1,20240811,1,1,33,2,109.29,3,3,4,0,2,2,High,0,Wants-based,11
166,90-069-8934,7,1,20240811,1,1,37,2,109.29,3,3,4,0,2,2,High,0,Wants-based,11
167,90-069-8934,7,1,20240811,1,1,41,2,109.29,3,3,4,0,2,2,High,0,Wants-based,11
168,90-069-8934,7,1,20240811,1,1,45,2,109.29,3,3,4,0,2,2,High,0,Wants-based,11
169,45-073-7243,6,2,20241018,2,2,3,1,356.45,6,5,5,2,0,7,Medium,0,Planned,8
170,45-073-7243,6,2,20241018,2,2,7,1,356.45,6,5,5,2,0,7,Medium,0,Planned,8
171,45-073-7243,6,2,20241018,2,2,11,1,356.45,6,5,5,2,0,7,Medium,0,Planned,8
172,45-073-7243,6,2,20241018,2,2,15,1,356.45,6,5,5,2,0,7,Medium,0,Planned,8
173,45-073-7243,6,2,20241018,2,2,19,1,356.45,6,5,5,2,0,7,Medium,0,Planned,8
174,45-073-7243,6,2,20241018,2,2,23,1,356.45,6,5,5,2,0,7,Medium,0,Planned,8
175,45-073-7243,6,2,20241018,2,2,27,1,356.45,6,5,5,2,0,7,Medium,0,Planned,8
176,45-073-7243,6,2,20241018,2,2,31,1,356.45,6,5,5,2,0,7,Medium,0,Planned,8
177,45-073-7243,6,2,20241018,2,2,35,1,356.45,6,5,5,2,0,7,Medium,0,Planned,8
178,45-073-7243,6,2,20241018,2,2,39,1,356.45,6,5,5,2,0,7,Medium,0,Planned,8
179,45-073-7243,6,2,20241018,2,2,43,1,356.45,6,5,5,2,0,7,Medium,0,Planned,8
180,45-073-7243,6,2,20241018,2,2,47,1,356.45,6,5,5,2,0,7,Medium,0,Planned,8
181,89-883-2101,19,2,20241209,3,5,4,3,236.99,10,2,4,0,0,8,None,1,Impulsive,13
182,89-883-2101,19,2,20241209,3,5,8,3,236.99,10,2,4,0,0,8,None,1,Impulsive,13
183,89-883-2101,19,2,20241209,3,5,12,3,236.99,10,2,4,0,0,8,None,1,Impulsive,13
184,89-883-2101,19,2,20241209,3,5,16,3,236.99,10,2,4,0,0,8,None,1,Impulsive,13
185,89-883-2101,19,2,20241209,3,5,20,3,236.99,10,2,4,0,0,8,None,1,Impulsive,13
186,89-883-2101,19,2,20241209,3,5,24,3,236.99,10,2,4,0,0,8,None,1,Impulsive,13
187,89-883-2101,19,2,20241209,3,5,28,3,236.99,10,2,4,0,0,8,None,1,Impulsive,13
188,89-883-2101,19,2,20241209,3,5,32,3,236.99,10,2,4,0,0,8,None,1,Impulsive,13
189,89-883-2101,19,2,20241209,3,5,36,3,236.99,10,2,4,0,0,8,None,1,Impulsive,13
190,89-883-2101,19,2,20241209,3,5,40,3,236.99,10,2,4,0,0,8,None,1,Impulsive,13
191,89-883-2101,19,2,20241209,3,5,44,3,236.99,10,2,4,0,0,8,None,1,Impulsive,13
192,89-883-2101,19,2,20241209,3,5,48,3,236.99,10,2,4,0,0,8,None,1,Impulsive,13
193,00-477-9449,11,3,20240723,1,3,4,1,454.39,10,2,4,2,0,3,None,0,Impulsive,3
194,00-477-9449,11,3,20240723,1,3,8,1,454.39,10,2,4,2,0,3,None,0,Impulsive,3
195,00-477-9449,11,3,20240723,1,3,12,1,454.39,10,2,4,2,0,3,None,0,Impulsive,3
196,00-477-9449,11,3,20240723,1,3,16,1,454.39,10,2,4,2,0,3,None,0,Impulsive,3
197,00-477-9449,11,3,20240723,1,3,20,1,454.39,10,2,4,2,0,3,None,0,Impulsive,3
198,00-477-9449,11,3,20240723,1,3,24,1,454.39,10,2,4,2,0,3,None,0,Impulsive,3
199,00-477-9449,11,3,20240723,1,3,28,1,454.39,10,2,4,2,0,3,None,0,Impulsive,3
200,00-477-9449,11,3,20240723,1,3,32,1,454.39,10,2,4,2,0,3,None,0,Impulsive,3
201,00-477-9449,11,3,20240723,1,3,36,1,454.39,10,2,4,2,0,3,None,0,Impulsive,3
202,00-477-9449,11,3,20240723,1,3,40,1,454.39,10,2,4,2,0,3,None,0,Impulsive,3
203,00-477-9449,11,3,20240723,1,3,44,1,454.39,10,2,4,2,0,3,None,0,Impulsive,3
204,00-477-9449,11,3,20240723,1,3,48,1,454.39,10,2,4,2,0,3,None,0,Impulsive,3
205,67-159-7366,23,3,20240708,2,1,2,1,490.75,10,2,4,1,1,4,Low,0,Wants-based,13
206,67-159-7366,23,3,20240708,2,1,6,1,490.75,10,2,4,1,1,4,Low,0,Wants-based,13
207,67-159-7366,23,3,20240708,2,1,10,1,490.75,10,2,4,1,1,4,Low,0,Wants-based,13
208,67-159-7366,23,3,20240708,2,1,14,1,490.75,10,2,4,1,1,4,Low,0,Wants-based,13
209,67-159-7366,23,3,20240708,2,1,18,1,490.75,10,2,4,1,1,4,Low,0,Wants-based,13
210,67-159-7366,23,3,20240708,2,1,22,1,490.75,10,2,4,1,1,4,Low,0,Wants-based,13
211,67-159-7366,23,3,20240708,2,1,26,1,490.75,10,2,4,1,1,4,Low,0,Wants-based,13
212,67-159-7366,23,3,20240708,2,1,30,1,490.75,10,2,4,1,1,4,Low,0,Wants-based,13
213,67-159-7366,23,3,20240708,2,1,34,1,490.75,10,2,4,1,1,4,Low,0,Wants-based,13
214,67-159-7366,23,3,20240708,2,1,38,1,490.75,10,2,4,1,1,4,Low,0,Wants-based,13
215,67-159-7366,23,3,20240708,2,1,42,1,490.75,10,2,4,1,1,4,Low,0,Wants-based,13
216,67-159-7366,23,3,20240708,2,1,46,1,490.75,10,2,4,1,1,4,Low,0,Wants-based,13
217,85-691-4293,3,2,20240723,2,5,3,3,463.07,7,4,2,0,1,2,Medium,1,Wants-based,11
218,85-691-4293,3,2,20240723,2,5,7,3,463.07,7,4,2,0,1,2,Medium,1,Wants-based,11
219,85-691-4293,3,2,20240723,2,5,11,3,463.07,7,4,2,0,1,2,Medium,1,Wants-based,11
220,85-691-4293,3,2,20240723,2,5,15,3,463.07,7,4,2,0,1,2,Medium,1,Wants-based,11
221,85-691-4293,3,2,20240723,2,5,19,3,463.07,7,4,2,0,1,2,Medium,1,Wants-based,11
222,85-691-4293,3,2,20240723,2,5,23,3,463.07,7,4,2,0,1,2,Medium,1,Wants-based,11
223,85-691-4293,3,2,20240723,2,5,27,3,463.07,7,4,2,0,1,2,Medium,1,Wants-based,11
224,85-691-4293,3,2,20240723,2,5,31,3,463.07,7,4,2,0,1,2,Medium,1,Wants-based,11
225,85-691-4293,3,2,20240723,2,5,35,3,463.07,7,4,2,0,1,2,Medium,1,Wants-based,11
226,85-691-4293,3,2,20240723,2,5,39,3,463.07,7,4,2,0,1,2,Medium,1,Wants-based,11
227,85-691-4293,3,2,20240723,2,5,43,3,463.07,7,4,2,0,1,2,Medium,1,Wants-based,11
228,85-691-4293,3,2,20240723,2,5,47,3,463.07,7,4,2,0,1,2,Medium,1,Wants-based,11
229,56-085-0464,21,1,20240731,2,3,4,2,56.74,5,5,1,0,0,6,None,1,Impulsive,7
230,56-085-0464,21,1,20240731,2,3,8,2,56.74,5,5,1,0,0,6,None,1,Impulsive,7
231,56-085-0464,21,1,20240731,2,3,12,2,56.74,5,5,1,0,0,6,None,1,Impulsive,7
232,56-085-0464,21,1,20240731,2,3,16,2,56.74,5,5,1,0,0,6,None,1,Impulsive,7
233,56-085-0464,21,1,20240731,2,3,20,2,56.74,5,5,1,0,0,6,None,1,Impulsive,7
234,56-085-0464,21,1,20240731,2,3,24,2,56.74,5,5,1,0,0,6,None,1,Impulsive,7
235,56-085-0464,21,1,20240731,2,3,28,2,56.74,5,5,1,0,0,6,None,1,Impulsive,7
236,56-085-0464,21,1,20240731,2,3,32,2,56.74,5,5,1,0,0,6,None,1,Impulsive,7
237,56-085-0464,21,1,20240731,2,3,36,2,56.74,5,5,1,0,0,6,None,1,Impulsive,7
238,56-085-0464,21,1,20240731,2,3,40,2,56.74,5,5,1,0,0,6,None,1,Impulsive,7
239,56-085-0464,21,1,20240731,2,3,44,2,56.74,5,5,1,0,0,6,None,1,Impulsive,7
240,56-085-0464,21,1,20240731,2,3,48,2,56.74,5,5,1,0,0,6,None,1,Impulsive,7
241,33-264-2822,14,3,20240225,3,1,4,1,371.32,7,4,4,1,2,1,None,1,Impulsive,6
242,33-264-2822,14,3,20240225,3,1,8,1,371.32,7,4,4,1,2,1,None,1,Impulsive,6
243,33-264-2822,14,3,20240225,3,1,12,1,371.32,7,4,4,1,2,1,None,1,Impulsive,6
244,33-264-2822,14,3,20240225,3,1,16,1,371.32,7,4,4,1,2,1,None,1,Impulsive,6
245,33-264-2822,14,3,20240225,3,1,20,1,371.32,7,4,4,1,2,1,None,1,Impulsive,6
246,33-264-2822,14,3,20240225,3,1,24,1,371.32,7,4,4,1,2,1,None,1,Impulsive,6
247,33-264-2822,14,3,20240225,3,1,28,1,371.32,7,4,4,1,2,1,None,1,Impulsive,6
248,33-264-2822,14,3,20240225,3,1,32,1,371.32,7,4,4,1,2,1,None,1,Impulsive,6
249,33-264-2822,14,3,20240225,3,1,36,1,371.32,7,4,4,1,2,1,None,1,Impulsive,6
250,33-264-2822,14,3,20240225,3,1,40,1,371.32,7,4,4,1,2,1,None,1,Impulsive,6
251,33-264-2822,14,3,20240225,3,1,44,1,371.32,7,4,4,1,2,1,None,1,Impulsive,6
252,33-264-2822,14,3,20240225,3,1,48,1,371.32,7,4,4,1,2,1,None,1,Impulsive,6
253,95-478-2650,3,1,20240710,3,4,2,1,461.00,7,2,4,1,0,8,Low,0,Wants-based,9
254,95-478-2650,3,1,20240710,3,4,6,1,461.00,7,2,4,1,0,8,Low,0,Wants-based,9
255,95-478-2650,3,1,20240710,3,4,10,1,461.00,7,2,4,1,0,8,Low,0,Wants-based,9
256,95-478-2650,3,1,20240710,3,4,14,1,461.00,7,2,4,1,0,8,Low,0,Wants-based,9
257,95-478-2650,3,1,20240710,3,4,18,1,461.00,7,2,4,1,0,8,Low,0,Wants-based,9
258,95-478-2650,3,1,20240710,3,4,22,1,461.00,7,2,4,1,0,8,Low,0,Wants-based,9
