Demographic_ID,Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location
137,93-473-7248,43,Male,Middle,Divorced,Master's,High,Zgornje Pirni?e
138,72-830-1211,38,Male,High,Single,Bachelor's,High,Cipolletti
139,40-232-5631,47,Genderfluid,Middle,Single,Bachelor's,Middle,Suvorov
140,22-414-4955,35,Male,High,Widowed,Bachelor's,High,Dragash
141,99-089-1930,49,Non-binary,High,Married,Master's,Middle,Freiburg im Breisgau
142,62-198-2511,22,Male,Middle,Divorced,Master's,High,Macau
143,21-297-1223,49,Male,High,Single,Master's,Middle,Pancas
144,10-961-9336,27,Female,Middle,Married,Master's,Middle,Dayapan
145,71-473-2656,27,Female,High,Married,Bachelor's,Middle,Gordon Town
146,84-954-2973,37,Female,High,Single,Master's,Middle,Proptisht
147,22-382-9636,32,Male,Middle,Married,Bachelor's,High,Kamal
148,89-724-2536,42,Male,Middle,Widowed,Master's,High,Kouvola
149,85-391-1888,18,Female,High,Widowed,Master's,Middle,Zhongdong
150,84-934-2483,49,Male,High,Widowed,Master's,Middle,Betong
151,96-229-1698,23,Female,Middle,Widowed,High School,Middle,Jinping
152,36-948-6994,29,Female,High,Divorced,Bachelor's,High,Mgachi
153,43-172-9431,25,Male,Middle,Divorced,High School,Middle,Lameira
154,53-690-5759,38,Agender,High,Divorced,High School,High,Medicine Hat
155,00-496-3067,32,Female,Middle,Widowed,Bachelor's,Middle,Oslo
156,47-931-2642,46,Male,Middle,Widowed,Bachelor's,High,Bel?sovka
157,76-501-6422,24,Male,Middle,Divorced,High School,Middle,Houston
158,39-274-2175,48,Polygender,High,Divorced,Master's,High,Hengdian
159,62-493-5282,35,Male,High,Widowed,High School,Middle,Shuigou
160,18-841-7253,50,Female,High,Divorced,High School,Middle,Xingxi
161,18-097-5707,34,Male,Middle,Widowed,High School,High,Dh?b?n
162,83-792-5141,50,Female,Middle,Single,Bachelor's,Middle,Chengguan
163,65-036-2410,50,Female,Middle,Single,High School,Middle,Paris 09
164,67-593-9579,46,Male,Middle,Single,Bachelor's,High,Rozhdestveno
165,33-484-6674,47,Male,Middle,Single,Master's,Middle,Porangatu
166,65-249-5416,35,Male,High,Widowed,Master's,Middle,Shalkar
167,17-328-4678,27,Male,High,Widowed,Bachelor's,Middle,Quimbaya
168,00-733-8770,37,Female,High,Single,Master's,High,Narok
169,47-501-3435,38,Female,High,Married,Bachelor's,High,Gimcheon
170,46-779-7065,41,Female,High,Divorced,High School,High,Visaginas
171,91-603-1565,48,Male,Middle,Divorced,High School,Middle,Shostka
172,35-122-5020,48,Female,High,Married,Bachelor's,Middle,Pukekohe East
173,63-684-4073,45,Female,High,Divorced,Bachelor's,High,Blokdesa Situgede
174,74-483-2893,26,Non-binary,Middle,Widowed,High School,Middle,Yueyang
175,72-728-4406,50,Female,Middle,Single,Master's,High,Liutan
176,13-588-2488,39,Male,Middle,Widowed,Bachelor's,Middle,Huanggang
177,95-112-6724,31,Female,Middle,Divorced,Master's,High,Xuedian
178,27-262-6874,25,Female,Middle,Married,Bachelor's,High,Yuyapichis
179,92-908-5062,18,Agender,Middle,Single,Bachelor's,High,Shiroishi
180,70-014-6406,18,Male,Middle,Divorced,Bachelor's,High,Kobe
181,52-908-9971,31,Male,Middle,Widowed,High School,Middle,Gulou
182,57-623-5362,43,Genderqueer,High,Married,Bachelor's,High,Jilin
183,48-315-0196,23,Male,Middle,Single,High School,Middle,Balboa
184,71-959-3896,29,Male,High,Married,Bachelor's,High,Cipari
185,29-987-3969,21,Female,Middle,Divorced,Master's,Middle,Orlando
186,78-613-1546,49,Female,Middle,Single,High School,Middle,Torsby
187,43-664-4451,30,Female,Middle,Divorced,Master's,Middle,San Pablo
188,34-095-3364,31,Polygender,Middle,Divorced,High School,Middle,Daszewice
189,04-609-7885,36,Male,Middle,Single,High School,High,Oslo
190,73-139-4306,24,Female,Middle,Married,Master's,High,Puerto L?pez
191,23-794-8196,36,Genderfluid,High,Married,Master's,Middle,Xinchengzi
192,66-050-6391,45,Female,Middle,Single,Master's,High,Tecp?n Guatemala
193,22-311-5460,44,Male,Middle,Widowed,High School,Middle,Bronnitsy
194,51-917-0766,28,Male,High,Married,Master's,High,Araci
195,53-013-1026,40,Male,High,Widowed,Master's,Middle,Duyure
196,29-779-3457,49,Female,Middle,Widowed,Bachelor's,High,Huangni
197,18-047-5540,50,Female,High,Single,Bachelor's,High,Kuala Lumpur
198,89-438-5310,24,Male,High,Divorced,Bachelor's,High,Seleu?
199,23-985-3535,26,Male,High,Single,Master's,Middle,Monrovia
200,67-939-2463,28,Male,Middle,Divorced,Master's,High,Kristinehamn
201,03-623-6767,48,Female,Middle,Single,High School,High,Huancabamba
202,86-749-6914,47,Male,Middle,Single,High School,High,San Jos? Acatempa
203,03-977-8103,25,Male,Middle,Widowed,Bachelor's,Middle,Quebrada Canoa
204,03-827-4021,39,Male,High,Divorced,Bachelor's,Middle,Moate
205,68-507-4747,41,Female,High,Widowed,High School,High,Kubangwaru
206,73-942-8440,37,Male,Middle,Married,Bachelor's,High,??????
207,21-821-6398,50,Female,Middle,Divorced,Bachelor's,High,Xinquan
208,64-641-7874,33,Female,High,Widowed,High School,High,Providence
209,53-459-7870,50,Agender,High,Divorced,Master's,Middle,Autun
210,36-240-3240,25,Male,Middle,Divorced,High School,Middle,Shilin
211,54-936-4361,34,Agender,High,Single,Bachelor's,High,Paris 17
212,67-209-0990,39,Male,High,Widowed,High School,High,Stoczek ?ukowski
213,19-667-0201,41,Male,Middle,Single,Master's,Middle,Ormstown
214,36-274-5269,27,Male,Middle,Married,Master's,High,Ponte
215,09-948-3150,23,Agender,High,Married,Bachelor's,Middle,Boshkengash
216,19-873-9468,37,Male,Middle,Widowed,Bachelor's,Middle,?? T?h
217,37-748-4988,21,Male,Middle,Married,High School,High,Rad??
218,08-755-1170,47,Male,Middle,Single,High School,High,Sinarwangi
219,07-402-7433,42,Agender,Middle,Single,High School,Middle,Dagup
220,60-073-3575,30,Male,Middle,Widowed,Bachelor's,Middle,E?k
221,97-237-3483,49,Male,Middle,Single,High School,Middle,Moju
222,93-675-1619,28,Female,Middle,Married,Master's,Middle,V?lia
223,43-884-2577,24,Male,Middle,Single,High School,High,Prince Rupert
224,33-200-7615,40,Female,High,Divorced,Bachelor's,Middle,Jiangmen
225,63-631-8261,18,Male,High,Married,Bachelor's,Middle,Alung
226,34-016-7909,42,Male,High,Married,High School,Middle,Osorno
227,82-304-6495,19,Male,High,Married,Master's,High,Labo
228,70-207-6999,36,Female,High,Divorced,High School,Middle,Dakingari
229,71-780-8195,26,Female,High,Widowed,Bachelor's,High,Selasari
230,93-356-8589,35,Female,High,Married,Master's,High,Besko
231,92-142-9480,39,Male,High,Divorced,Master's,Middle,Aubergenville
232,53-042-5685,44,Female,Middle,Widowed,Bachelor's,High,Sula
233,35-853-2222,19,Female,High,Married,Bachelor's,High,Valongo
234,83-670-9273,27,Female,High,Widowed,Master's,High,Al Kh?nkah
235,37-783-6086,26,Female,High,Divorced,Master's,Middle,M?rtola
236,79-902-8144,26,Female,High,Single,Bachelor's,Middle,Rates
237,41-009-7879,27,Female,High,Married,High School,Middle,Anyang
238,89-302-8461,37,Male,Middle,Single,Master's,Middle,Nymburk
239,23-066-1915,23,Female,Middle,Single,Bachelor's,Middle,Jiangcun
240,39-090-0124,31,Bigender,Middle,Single,Bachelor's,High,Tafo
241,41-854-0707,21,Female,Middle,Widowed,Master's,Middle,Cibaregbeg
242,04-352-1558,36,Female,High,Single,Master's,Middle,Wang Yang
243,93-867-8303,21,Female,Middle,Single,Master's,High,Liangnong
244,31-088-6950,27,Female,Middle,Single,Master's,High,Hengshi
245,43-616-8365,29,Female,Middle,Single,Master's,High,Kandangan
246,71-876-9118,24,Male,Middle,Single,High School,Middle,Naranjal
247,18-263-0366,33,Female,Middle,Divorced,Bachelor's,Middle,Abiko
248,25-502-1415,38,Female,High,Married,Master's,Middle,Longhuashan
249,50-000-9588,47,Male,High,Divorced,Master's,High,Zhovkva
250,32-338-5967,32,Male,Middle,Widowed,Bachelor's,High,Lebak
251,19-311-9149,21,Bigender,High,Single,High School,High,Gereshk
252,94-212-7169,23,Female,High,Divorced,High School,High,Yonghe
253,17-246-6194,45,Non-binary,Middle,Divorced,Bachelor's,High,Dabai
254,26-672-1285,24,Genderfluid,Middle,Married,High School,Middle,Moutnice
255,00-265-0556,20,Female,Middle,Widowed,High School,Middle,Qiryat Yam
256,17-213-2834,34,Male,Middle,Single,High School,Middle,Marshintsy
257,12-699-6543,49,Male,Middle,Widowed,Bachelor's,Middle,Celso Ramos
258,83-427-3218,47,Female,Middle,Widowed,High School,Middle,White River
259,61-663-9008,18,Male,Middle,Married,Master's,Middle,Taishihe
260,86-917-7481,48,Female,Middle,Widowed,Master's,High,Shanghu
261,66-086-2306,19,Male,Middle,Single,Bachelor's,Middle,Brandsen
262,43-671-9834,39,Female,Middle,Divorced,High School,High,Ranot
263,90-888-8726,48,Female,High,Divorced,Master's,Middle,Saint-Jouan-des-Gu?rets
264,23-085-0811,43,Female,High,Widowed,Master's,High,Da?an
265,85-192-9218,31,Female,High,Divorced,Bachelor's,High,Kisovec
266,82-671-7236,28,Female,Middle,Divorced,Bachelor's,High,?bd?n?n
267,42-674-3987,29,Genderqueer,Middle,Married,Master's,High,Dafeng
268,41-934-7739,45,Genderfluid,Middle,Divorced,High School,High,Campo Maior
269,48-825-0400,38,Male,Middle,Single,Master's,High,S?vedalen
270,30-133-5120,30,Male,Middle,Widowed,Bachelor's,Middle,Brikcha
271,29-827-8515,40,Female,High,Widowed,Bachelor's,High,Xidianzi
272,38-912-1128,38,Female,Middle,Widowed,High School,Middle,B?ja
273,07-751-9620,23,Polygender,Middle,Widowed,Bachelor's,High,Ferreira do Alentejo
274,81-877-9170,30,Genderqueer,High,Widowed,Bachelor's,High,Gegernoong
275,19-885-2597,42,Male,High,Widowed,Master's,Middle,La Monta?ita
276,82-389-2029,28,Female,High,Widowed,High School,High,Sarish?b?ri
277,97-463-0048,44,Female,Middle,Single,Master's,High,Mangge
278,91-572-6135,45,Male,Middle,Widowed,Bachelor's,Middle,Chaba?ovice
279,10-232-0685,46,Female,High,Married,Master's,Middle,Yangping
280,77-761-7475,28,Female,Middle,Divorced,Bachelor's,High,Berezna
281,78-826-3039,27,Male,High,Single,Master's,High,Vidual
282,86-668-1045,20,Female,High,Single,High School,Middle,Paris 17
283,14-603-9698,40,Male,High,Married,High School,High,Hultsfred
284,23-752-2213,36,Male,Middle,Widowed,Master's,Middle,N?kaia
285,71-486-8561,43,Male,High,Widowed,High School,Middle,Macayug
286,76-382-7162,26,Female,High,Single,High School,Middle,Mahanoro
287,28-947-4295,29,Male,Middle,Widowed,Bachelor's,High,Mozdok
288,84-765-0748,34,Female,Middle,Widowed,High School,High,Hoolt
289,54-207-8349,40,Male,High,Single,Bachelor's,Middle,San Luis
290,20-419-0341,42,Female,High,Married,Bachelor's,Middle,Pergan
291,52-005-9914,28,Male,High,Married,Bachelor's,High,Kanoni
292,34-846-7805,49,Male,High,Single,Bachelor's,High,Gromadka
293,26-596-5461,46,Female,High,Single,Master's,Middle,Payapa
294,20-157-8631,44,Female,High,Divorced,Master's,High,Rat Burana
295,91-199-9097,29,Male,High,Married,High School,Middle,Trhov? Sviny
296,55-846-2579,47,Male,Middle,Divorced,Bachelor's,High,Kiev
297,83-455-7266,37,Female,Middle,Married,Bachelor's,Middle,Cr?teil
298,67-599-9267,47,Male,High,Widowed,High School,Middle,Lomintsevskiy
299,41-501-9276,24,Male,High,Married,Bachelor's,High,Monchegorsk
300,88-000-9227,49,Male,Middle,Divorced,Bachelor's,Middle,Shreveport
301,52-726-9328,19,Genderfluid,High,Single,High School,High,Pingzhuang
302,60-198-5417,27,Female,High,Single,Bachelor's,High,Celso Ramos
303,00-107-4749,36,Female,Middle,Single,Master's,Middle,Merlo
304,79-973-7862,47,Female,Middle,Married,Master's,Middle,Mount Ayliff
305,81-814-3498,32,Male,Middle,Single,High School,Middle,P?rgaaj
306,34-375-8138,48,Male,Middle,Married,Bachelor's,Middle,Zbraslavice
307,05-067-9686,20,Genderfluid,High,Single,Master's,Middle,Xilu
308,61-951-7929,32,Male,Middle,Divorced,High School,High,Bamut
309,53-667-0793,25,Male,High,Widowed,High School,High,La Tour-du-Pin
310,61-212-1117,42,Male,Middle,Divorced,Bachelor's,Middle,Pader Palwo
311,09-443-7536,37,Female,High,Single,Bachelor's,High,Maurisu
312,27-463-5671,21,Genderfluid,Middle,Widowed,Master's,Middle,Gorzyce
313,53-380-3968,43,Female,High,Widowed,Bachelor's,High,Qingyun
314,42-969-0735,29,Female,High,Divorced,Bachelor's,Middle,Jiuxian
315,12-440-5464,28,Male,Middle,Divorced,Master's,Middle,Ndungu
316,33-467-2534,43,Male,Middle,Widowed,Master's,High,Emiliano Zapata
317,35-418-0288,48,Female,High,Divorced,High School,Middle,Spasskoye
318,33-787-2143,26,Female,Middle,Married,High School,High,Gier?o?
319,58-528-6262,42,Male,Middle,Married,Master's,High,Sobue
320,31-060-2716,27,Male,Middle,Divorced,Bachelor's,Middle,High Point
321,81-515-5823,40,Female,Middle,Married,Master's,Middle,Qiankeng
322,90-858-0453,23,Male,Middle,Widowed,High School,High,Pandean
323,28-874-8938,46,Male,High,Married,High School,High,Phong ?i?n
324,94-408-2581,40,Female,Middle,Married,High School,High,Bordeaux
325,55-301-9368,34,Male,High,Married,Master's,High,Zamora
326,72-336-1992,44,Female,Middle,Widowed,Bachelor's,High,Jubaoshan
327,06-008-2805,32,Female,High,Married,Master's,Middle,Sh?deg?n
328,77-178-6086,42,Female,Middle,Single,Master's,Middle,Gueltat Zemmour
329,28-832-2885,22,Female,High,Divorced,Master's,Middle,Mosal?sk
330,75-210-7391,44,Female,Middle,Married,High School,Middle,Kokstad
331,60-470-3563,29,Male,Middle,Married,Bachelor's,Middle,Malasin
332,24-241-7171,30,Female,High,Single,High School,High,Huaqiu
333,53-784-1855,19,Female,Middle,Divorced,Master's,High,Loket
334,83-561-3374,45,Female,High,Widowed,Master's,Middle,Santa Maria do Souto
335,96-121-0629,38,Male,Middle,Married,Bachelor's,Middle,Yanshang
336,00-275-9990,24,Female,Middle,Married,Bachelor's,Middle,Tempuran
337,36-593-2907,42,Genderqueer,High,Single,Bachelor's,High,Karafao
338,22-692-3470,46,Female,High,Widowed,High School,High,S?o Crist?v?o
339,90-322-7329,44,Female,High,Widowed,High School,Middle,Buensuseso
340,28-395-9872,38,Male,High,Married,Master's,Middle,Blantyre
341,79-297-1061,44,Male,Middle,Single,Master's,Middle,Kozel?shchyna
342,93-649-9356,18,Female,High,Single,Master's,Middle,Cibuah
343,27-543-7069,37,Male,Middle,Divorced,Master's,High,Cockburn Town
344,96-079-9597,31,Genderfluid,High,Single,Master's,Middle,Maslog
345,38-940-4942,22,Female,High,Widowed,Master's,Middle,Faqq??ah
346,82-014-2564,33,Male,High,Married,High School,Middle,Yelyzavethradka
347,70-699-5799,20,Female,High,Single,Master's,High,Jackson
348,55-620-7906,21,Male,High,Divorced,High School,Middle,Kiambu
349,30-839-5589,42,Female,Middle,Married,High School,Middle,Yaodu
350,76-848-9229,29,Male,High,Married,Bachelor's,Middle,Saint-Gratien
351,98-559-6096,20,Male,Middle,Widowed,High School,Middle,Totora
352,56-810-2066,40,Non-binary,High,Married,Master's,Middle,G?teborg
353,55-580-7707,38,Male,High,Divorced,Bachelor's,Middle,??slav
354,18-605-0795,45,Polygender,Middle,Widowed,High School,High,Rudnogorsk
355,86-268-2904,49,Male,High,Widowed,High School,Middle,Pindiga
356,75-847-7630,37,Male,Middle,Single,High School,Middle,Adela
357,76-910-2337,23,Polygender,Middle,Widowed,Master's,High,Krajan Baru
358,56-719-7145,48,Female,High,Married,Master's,Middle,Jinqiao
359,14-025-2335,19,Male,Middle,Divorced,Master's,Middle,Barg-e Mat?l
360,10-300-8072,46,Female,High,Single,High School,High,Argenteuil
361,73-698-2326,39,Male,Middle,Divorced,Bachelor's,High,Daying
362,01-023-2094,27,Polygender,Middle,Divorced,Master's,Middle,Ngrejo
363,65-359-4645,28,Female,Middle,Married,High School,High,Xieba
364,33-405-7978,50,Female,High,Married,High School,Middle,Sigli
365,09-783-7921,19,Female,High,Divorced,Bachelor's,High,Arist?bulo del Valle
366,76-561-2427,27,Agender,Middle,Widowed,High School,High,Cane
367,82-467-3300,23,Male,High,Married,Master's,Middle,Podhum
368,92-946-7398,19,Female,High,Widowed,Bachelor's,High,Vilar
369,59-891-2990,22,Female,Middle,Widowed,Bachelor's,High,Portela
370,22-579-3978,40,Male,Middle,Divorced,High School,High,Arendal
371,22-352-0576,48,Male,Middle,Married,Bachelor's,Middle,Nab?nagar
372,28-676-0614,49,Male,Middle,Married,High School,High,La Ravoire
373,07-211-9364,45,Agender,Middle,Widowed,Master's,Middle,Dostoyevka
374,98-238-6733,42,Female,High,Married,High School,High,Liuzhou
375,26-028-2671,44,Female,High,Divorced,High School,Middle,Cigedang
376,55-876-7407,42,Female,High,Married,Bachelor's,Middle,Muaralabuh
377,47-720-9520,49,Female,Middle,Widowed,Bachelor's,High,Che?miec
378,42-207-5005,45,Female,Middle,Widowed,High School,High,Santa Marta
379,37-468-8133,44,Male,Middle,Single,High School,Middle,Cimara
380,00-335-5034,37,Agender,High,Married,Bachelor's,High,Sanxing
381,95-148-1769,36,Male,Middle,Divorced,Master's,High,Linao
382,72-324-1243,34,Male,High,Married,High School,Middle,Bairan
383,62-687-5354,23,Male,Middle,Single,High School,Middle,Abaetetuba
384,54-634-0814,35,Male,High,Divorced,Bachelor's,High,Pasirjaya
385,64-769-5737,45,Male,Middle,Widowed,Master's,Middle,Acheng
386,62-892-2088,38,Male,High,Widowed,Master's,High,Huakoulongtan
387,53-951-2529,25,Male,Middle,Divorced,Master's,High,Burgastai
388,65-539-9955,18,Female,High,Single,High School,High,Sertolovo
